team_short_display_name,games,wins,losses,avg_pts,avg_fg_pct,avg_3pt_made,avg_rebounds,avg_assists,avg_turnovers,avg_steals,avg_blocks,win_pct
EAST,1,1,0,211,56.8,42,64,46,14,6,1,100
Celtics,82,64,18,120.6,48.8,16.5,46.3,26.9,11.3,6.8,6.6,78
Nuggets,82,57,25,114.9,49.7,11.7,44.4,29.5,11.8,7.1,5.6,69.5
Thunder,82,57,25,120.1,50,13.3,42,27.1,11.8,8.5,6.6,69.5
Timberwolves,82,56,26,113,48.6,12.6,43.6,26.6,13.4,7.9,6.1,68.3
Clippers,82,51,31,115.6,48.9,12.6,43,25.6,12.2,7.8,5,62.2
Knicks,82,50,32,112.8,46.6,13.2,45.2,24.4,12.2,7.5,4.1,61
Mavericks,82,50,32,117.9,48.1,14.6,42.9,25.7,12.1,6.9,5,61
Bucks,82,49,33,119,48.8,14.2,44.2,26.5,12.4,6.8,5,59.8
Pelicans,82,49,33,115.1,48.7,12.5,44,27,12.4,8.3,4.6,59.8
Suns,82,49,33,116.2,49.5,12.4,44.1,27,14.1,7.4,6,59.8
Cavaliers,82,48,34,112.6,48,13.5,43.3,28,12.7,7.4,4.6,58.5
Lakers,83,48,35,118.1,50,11.7,43.3,28.5,13.5,7.3,5.6,57.8
76ers,82,47,35,114.6,46.5,12.1,43,24.9,11.3,8.5,6,57.3
Magic,82,47,35,110.5,47.8,11,42.3,24.7,13.8,8.2,5.2,57.3
Pacers,83,47,36,123.1,50.7,13.2,41.4,30.7,12.2,7.7,5.9,56.6
Heat,82,46,36,110.1,46.5,12.5,42.3,25.8,11.8,7.5,3.4,56.1
Kings,82,46,36,116.6,47.7,14.4,44,28.3,12.5,7.6,4.2,56.1
Warriors,82,46,36,117.8,47.8,14.8,46.7,29.3,13.7,7,4.6,56.1
Rockets,82,41,41,114.3,45.9,12.7,45.5,24.8,12.2,7.8,4.6,50
Bulls,82,39,43,112.3,47.1,11.5,43.8,25,11.7,7.8,4.8,47.6
Hawks,82,36,46,118.3,46.6,13.7,44.7,26.6,12.8,7.5,4.5,43.9
Nets,82,32,50,110.4,45.7,13.3,44.1,25.6,12.3,6.8,5.2,39
Jazz,82,31,51,115.7,46.8,12.9,45.5,27.2,15,6.5,5.6,37.8
Grizzlies,82,27,55,105.8,43.5,13.1,42.6,24.7,14.2,8.2,6.1,32.9
Raptors,82,25,57,112.4,47.2,11.5,42.7,28.5,13.4,7.7,4.7,30.5
Spurs,82,22,60,112.1,46.3,12.6,44.2,29.9,14.6,7.1,6.3,26.8
Hornets,82,21,61,106.6,46.1,12.1,40.3,24.8,13,6.9,4.5,25.6
Trail Blazers,82,21,61,106.4,44,11.5,42.7,23.1,14.4,7.6,4.3,25.6
Wizards,82,15,67,113.7,47.1,12.4,41.1,27.9,13.5,7.6,5.1,18.3
Pistons,82,14,68,109.9,46.4,11,43.3,25.5,14.6,6.5,4.7,17.1
WEST,1,0,1,186,55.9,25,53,60,11,8,2,0
